Neuron name (Baker et al 2022),Cell type (Baker et al 2022),Neuron name (Lockwood et al),Cell type (Lockwood et al),Coordinates ,Codex June 2024,HB type,FAFB NT,BANC NT,NT2026 (FAFB and BANC),JOA (L+R) influence score,JOB (L+R) influence score,JOA L influence,JOB L influence
B1-4_L4,B1-4,B1-4_R4,B1-4,[157841  70625   1257],720575940614633867,CB1280,Ach,Ach,Ach,,,,
B1-4_L5,B1-4,B1-4_R5,B1-4,[159035  70962   1129],720575940613380914,SAD053,Ach,Ach,Ach,,,,
B1-4_L6,B1-4,B1-4_R6,B1-4,[157622  70728   1120],720575940639241279,CB2664,Ach,Ach,Ach,,,,
B1-4_L7,B1-4,B1-4_R7,B1-4,[156519  70651   1166],720575940606336213,CB2664,Ach,Ach,Ach,,,,
B1-4_R1,B1-4,B1-4_L1,B1-4,[104799  64706   1870],720575940620980323,CB2664,Ach,Ach,Ach,,,,
B1-4_R2,B1-4,B1-4_L2,B1-4,[108974  63085   2234],720575940627263375,SAD053,Ach,Ach,Ach,,,,
B1-4_R3,B1-4,B1-4_L3,B1-4,[107389  64842   2224],720575940637663662,CB2664,Ach,Ach,Ach,,,,
B1-4_R4,B1-4,B1-4_L4,B1-4,[102242  65488   1482],720575940614310802,CB2664,Ach,Ach,Ach,,,,
B1-4_R5,B1-4,B1-4_L5,B1-4,[104214  65169   1952],720575940635282910,CB1280,Ach,Ach,Ach,,,,
B1-4_R6,B1-4,B1-4_L6,B1-4,[103516  61641   1987],720575940618599277,CB2153,Ach,Ach,Ach,,,,
B1-4_R7,B1-4,B1-4_L7,B1-4,[102172  62584   1830],720575940609673369,,,,,,,,
B1-5_L1,B1-5,B1-5_R1,B1-5,[157776  69494   1158],720575940615723077,SAD052,Ach,Ach,Ach,,,,
B1-5_L2,B1-5,B1-5_R2,B1-5,[157974  69914   1017],720575940618409797,CB1076,Ach,Ach,Ach,,,,
B1-5_L3,B1-5,B1-5_R3,B1-5,[158860  68873    915],720575940621043753,CB1076,Ach,Ach,Ach,,,,
B1-5_L4,B1-5,B1-5_R4,B1-5,[160164  67283    851],720575940611864243,CB3710,Ach,Ach,Ach,,,,
B1-5_L5,B1-5,B1-5_R5,B1-5,[158010  70733    923],720575940634599792,CB2153,Ach,Ach,Ach,,,,
B1-5_L6,B1-5,B1-5_R6,B1-5,[158627  67175    941],720575940624087283,CB1076,Ach,Ach,Ach,,,,
B1-5_L7,B1-5,B1-5_R7,B1-5,[159356  65965   1063],720575940631631564,CB1702,Ach,Ach,Ach,,,,
B1-5_L8,B1-5,B1-5_R8,B1-5,[160056  70863   1041],720575940639205198,CB2153,Ach,Ach,Ach,,,,
B1-5_L9,B1-5,B1-5_R9,B1-5,[160597  67999    805],720575940609832410,CB3588,Ach,Ach,Ach,,,,
B1-5_L10,B1-5,B1-5_R10,B1-5,[159502  66336    941],720575940616804806,CB1076,Ach,Ach,Ach,,,,
B1-5_R1,B1-5,B1-5_L1,B1-5,[102985  63331   1442],720575940621242025,SAD052,Ach,Ach,Ach,,,,
B1-5_R2,B1-5,B1-5_L2,B1-5,[101195  63095   1491],720575940618392912,CB2664,Ach,Ach,Ach,,,,
B1-5_R3,B1-5,B1-5_L3,B1-5,[102092  62653   1678],720575940634877850,CB1076,Ach,Ach,Ach,,,,
B1-5_R4,B1-5,B1-5_L4,B1-5,[103204  60905   1772],720575940620731631,CB1076,Ach,Ach,Ach,,,,
B1-5_R5,B1-5,B1-5_L5,B1-5,[104645  61439   2141],720575940616633925,CB2521,Ach,Ach,Ach,,,,
B1-5_R6,B1-5,B1-5_L6,B1-5,[103683  59774   1531],720575940630277175,CB1702,Ach,Ach,Ach,,,,
B1-5_R7,B1-5,B1-5_L7,B1-5,[101006  62289   1437],720575940628016983,CB3581,Ach,Ach,Ach,,,,
B1-5_R8,B1-5,B1-5_L8,B1-5,[101302  66736   1487],720575940646400644,CB2153,Ach,Ach,Ach,,,,
B1-5_R9,B1-5,B1-5_L9,B1-5,[102113  63801   1429],720575940627455621,CB3588,Ach,Ach,Ach,,,,
B1-5_R10,B1-5,B1-5_L10,B1-5,[103304  61166   1658],720575940623233238,CB1076,Ach,Ach,Ach,,,,
B1-5_R11,B1-5,B1-5_L11,B1-5,[102839  63789   1709],720575940621800798,CB3710,Ach,Ach,Ach,,,,
B1-5_R12,B1-5,B1-5_L12,B1-5,[100544  63562   1557],720575940617882397,CB3710,Ach,Ach,Ach,,,,
B1-5_R13,B1-5,B1-5_L13,B1-5,[102190  63907   1639],720575940622577336,CB1076,Ach,Ach,Ach,,,,
B1-u_L2,B1,B1-6_R1,B1-6,[160521  66145    834],720575940612153086,CB3692,Ach,Ach,Ach,,,,
B1-u_L4,B1,B1-6_R2,B1-6,[160975  62356    688],720575940621339686,CB3437,Ach,Ach,Ach,,,,
B1-u_L7,B1,B1-6_R3,B1-6,[156634  69257   1082],720575940632829507,CB1702,Ach,Ach,Ach,,,,
B1-u_L8,B1,B1-6_R4,B1-6,[158323  68097    860],720575940611388141,CB3673,Ach,Ach,Ach,,,,
B1-u_L20,B1,B1-6_R5,B1-6,[159513  66239    728],720575940630131218,CB3673,Ach,Ach,Ach,,,,
B1-u_L24,B1,B1-6_R6,B1-6,[161139  64150    720],720575940625454596,CB3437,Ach,Ach,Ach,,,,
B1-u_R1,B1,B1-6_L1,B1-6,[102336  59934   1516],720575940626153488,CB3673,Ach,Ach,Ach,,,,
B1-u_R2,B1,B1-6_L2,B1-6,[103150  60752   1488],720575940646341486,CB3673,Ach,Ach,Ach,,,,
B1-u_R4,B1,B1-6_L3,B1-6,[102266  62098   1498],720575940629063418,CB3533,Ach,Ach,Ach,,,,
B1-u_R6,B1,B1-6_L4,B1-6,[101063  59951   1355],720575940644072483,CB3533,Ach,Ach,Ach,,,,
B1-u_R14,B1,B1-6_L5,B1-6,[102606  61890   1928],720575940625483962,CB3692,Ach,Ach,Ach,,,,
B1-u_R20,B1,B1-6_L6,B1-6,[101668  60673   1457],720575940607570185,CB3437,Ach,Ach,Ach,,,,
B1-u_L10,B1,B1-7_R1,B1-7,[157973  71710    867],720575940634606693,CB2556,Ach,Ach,Ach,,,,
B1-u_L13,B1,B1-7_R2,B1-7,[161166  63995    803],720575940619034806,CB2789,Ach,Ach,Ach,,,,
B1-u_L14,B1,B1-7_R3,B1-7,[158924  72715    988],720575940611988391,CB2475,Ach,Ach,Ach,,,,
B1-u_L16,B1,B1-7_R4,B1-7,[160410  69740    855],720575940613422860,CB2789,Ach,Ach,Ach,,,,
B1-u_L18,B1,B1-7_R5,B1-7,[158657  66948   1061],720575940608035374,CB2556,Ach,Ach,Ach,,,,
,put_B1,B1-7_R6,B1-7,,720575940626798101,CB3581,Ach,Ach,Ach,,,,
B1-u_R5,B1,B1-7_L1,B1-7,[100421  62165   1361],720575940659098241,CB3646,Ach,Ach,Ach,,,,
B1-u_R7,B1,B1-7_L2,B1-7,[102241  62723   1367],720575940603195494,CB3646,Ach,Ach,Ach,,,,
B1-u_R10,B1,B1-7_L3,B1-7,[100979  67596   1472],720575940630028359,CB2789,Ach,Ach,Ach,,,,
B1-u_R11,B1,B1-7_L4,B1-7,[102613  63657   1843],720575940634701407,CB2789,Ach,Ach,Ach,,,,
B1-u_R12,B1,B1-7_L5,B1-7,[101756  65978   1441],720575940622004106,CB2475,Ach,Ach,Ach,,,,
B1-u_R15,B1,B1-7_L6,B1-7,[103832  64363   1400],720575940615226086,CB3631,Ach,Ach,Ach,,,,
B1-u_R16,B1,B1-7_L7,B1-7,[101648  63469   1749],720575940632084705,CB2556,Ach,Ach,Ach,,,,
B1-u_R19,B1,B1-7_L8,B1-7,[101820  66072   1607],720575940622778820,CB2556,Ach,Ach,Ach,,,,
B1-u_L1,B1,B1-u_R1,B1-u,[157860  67324   1460],720575940624795017,CB1078,Ach,Ach,Ach,,,,
B1-u_L5,B1,B1-u_R2,B1-u,[160163  70057   1041],720575940609648395,CB2556,Ach,Ach,Ach,,,,
B1-u_L6,B1,B1-u_R3,B1-u,[159003  69918    905],720575940627235386,CB2556,Ach,Ach,Ach,,,,
B1-u_L9,B1,B1-u_R4,B1-u,[159503  67281    714],720575940624878602,CB3581,Ach,Ach,Ach,,,,
B1-u_L11,B1,B1-u_R5,B1-u,[157597  68583   1401],720575940615408059,CB1542,Ach,Ach,Ach,,,,
B1-u_L12,B1,B1-u_R6,B1-u,[158722  67313    719],720575940621815766,CB3533,Ach,Ach,Ach,,,,
B1-u_L15,B1,B1-u_R7,B1-u,[159825  68986    713],720575940622168088,CB3437,Ach,Ach,Ach,,,,
B1-u_L17,B1,B1-u_R8,B1-u,[158942  66986    861],720575940624109464,CB2558,Ach,Ach,Ach,,,,
B1-u_L19,B1,B1-u_R9,B1-u,[157685  67577    812],720575940632122464,CB2558,Ach,Ach,Ach,,,,
B1-u_L21,B1,B1-u_R10,B1-u,[158628  64847    739],720575940634915576,CB2558,Ach,Ach,Ach,,,,
B1-u_L22,B1,B1-u_R11,B1-u,[159379  64833    801],720575940623873829,CB2558,Ach,Ach,Ach,,,,
B1-u_L23,B1,B1-u_R12,B1-u,[158366  65687    746],720575940644345652,CB2558,Ach,Ach,Ach,,,,
put_B1_L,put_B1,B1-u_R13,B1-u,,720575940635054072,CB1078,Ach,Ach,Ach,,,,
put_B1_L,put_B1,B1-u_R14,B1-u,,720575940637687605,CB3631,Ach,Ach,Ach,,,,
B1-u_R3,B1,B1-u_L1,B1-u,[104176  64197   1991],720575940624872179,CB1078,Ach,Ach,Ach,,,,
B1-u_R8,B1,B1-u_L2,B1-u,[103766  64138   1808],720575940618524481,CB2556,Ach,Ach,Ach,,,,
B1-u_R9,B1,B1-u_L3,B1-u,[102146  62456   1564],720575940639696755,CB2558,Ach,Ach,Ach,,,,
B1-u_R13,B1,B1-u_L4,B1-u,[102787  61219   1551],720575940603616800,CB2558,Ach,Ach,Ach,,,,
B1-u_R17,B1,B1-u_L5,B1-u,[103676  62156   1588],720575940624245946,CB2558,Ach,Ach,Ach,,,,
B1-u_R18,B1,B1-u_L6,B1-u,[101856  59128   1401],720575940623735482,CB2558,Ach,Ach,Ach,,,,
put_B1_R,put_B1,B1-u_L7,B1-u,,720575940621575774,CB2558,Ach,Ach,Ach,,,,
put_B1_R,put_B1,B1-u_L8,B1-u,,720575940610638434,CB1078,Ach,Ach,Ach,,,,
B2_L1,B2,B2_R1,B2,[160204  80806   3169],720575940624700138,CB0090,Inconclusive,GABA,GABA,,,,
B2_L2,B2,B2_R2,B2,[158878  81031   3274],720575940620012253,CB0758,Inconclusive,GABA,GABA,,,,
B2_L3,B2,B2_R3,B2,[158566  81114   3427],720575940611597298,CB0758,GABA,GABA,GABA,,,,
B2_R1,B2,B2_L1,B2,[105811  77970   3852],720575940625984528,CB0758,Inconclusive,GABA,GABA,,,,
B2_R2,B2,B2_L2,B2,[106942  78483   3931],720575940629065154,CB0758,Inconclusive,GABA,GABA,,,,
B2_R3,B2,B2_L3,B2,[101810  75615   3854],720575940613311151,CB0090,GABA,GABA,GABA,,,,
GF_L,GF,GF_R,GF,[158798  46375   4782],720575940632499757,DNp01,Inconclusive,Inconclusive,Inconclusive,,,,
GF_R,GF,GF_L,GF,[110963  50581   5252],720575940622838154,DNp01,Inconclusive,Inconclusive,Inconclusive,,,,
WED-VLP-1_L1,WED-VLP-1,WED-VLP-1_R1,WED-VLP-1,[174858  67282   1310],720575940641359776,CB2108,Ach,Ach,Ach,,,,
WED-VLP-1_L2,WED-VLP-1,WED-VLP-1_R2,WED-VLP-1,[173924  67326   1226],720575940609927141,CB2108,Ach,Ach,Ach,,,,
WED-VLP-1_L3,WED-VLP-1,WED-VLP-1_R3,WED-VLP-1,[171909  68427   1139],720575940618833840,CB2108,Ach,Ach,Ach,,,,
WED-VLP-1_L4,WED-VLP-1,WED-VLP-1_R4,WED-VLP-1,[173259  68031   1263],720575940620392984,CB3234,Ach,Ach,Ach,,,,
WED-VLP-1_L5,WED-VLP-1,WED-VLP-1_R5,WED-VLP-1,[174767  70116   1435],720575940621308341,CB2108,Ach,Ach,Ach,,,,
WED-VLP-1_L6,WED-VLP-1,WED-VLP-1_R6,WED-VLP-1,[173988  68598   1349],720575940625989904,CB2108,Ach,Ach,Ach,,,,
WED-VLP-1_L7,WED-VLP-1,WED-VLP-1_R7,WED-VLP-1,[173952  69257   1436],720575940616611382,CB2108,Ach,Ach,Ach,,,,
WED-VLP-1_L8,WED-VLP-1,WED-VLP-1_R8,WED-VLP-1,[175234  69647   1542],720575940619785566,CB3234,Ach,Ach,Ach,,,,
put_WED-VLP-1_L1,put_WED-VLP,WED-VLP-1_R9,WED-VLP-1,,720575940619784453,CB2108,Ach,Ach,Ach,,,,
put_WED-VLP-1_L2,put_WED-VLP,WED-VLP-1_R10,WED-VLP-1,,720575940631922969,CB3377,Ach,Ach,Ach,,,,
,put_WED-VLP,WED-VLP-1_R11,WED-VLP-1,,720575940623304906,CB2108,Ach,Ach,Ach,,,,
WED-VLP-1_R1,WED-VLP-1,WED-VLP-1_L1,WED-VLP-1,[84822 61834  2373],720575940619249031,CB2108,Ach,Ach,Ach,,,,
WED-VLP-1_R2,WED-VLP-1,WED-VLP-1_L2,WED-VLP-1,[84878 62540  2410],720575940649911286,CB2108,Ach,Ach,Ach,,,,
WED-VLP-1_R3,WED-VLP-1,WED-VLP-1_L3,WED-VLP-1,[85218 64641  2505],720575940623787495,CB2449,Ach,Ach,Ach,,,,
WED-VLP-1_R4,WED-VLP-1,WED-VLP-1_L4,WED-VLP-1,[84971 63471  2636],720575940627174247,CB2108,Ach,Ach,Ach,,,,
WED-VLP-1_R5,WED-VLP-1,WED-VLP-1_L5,WED-VLP-1,[84169 62722  2510],720575940629954724,CB2108,Ach,Ach,Ach,,,,
WED-VLP-1_R6,WED-VLP-1,WED-VLP-1_L6,WED-VLP-1,[84977 64155  2577],720575940641400224,CB2108,Ach,Ach,Ach,,,,
WED-VLP-1_R7,WED-VLP-1,WED-VLP-1_L7,WED-VLP-1,[85527 62507  2347],720575940623547685,CB3234,Ach,Ach,Ach,,,,
WED-VLP-1_R8,WED-VLP-1,WED-VLP-1_L8,WED-VLP-1,[86038 62024  2288],720575940603186790,CB3234,Ach,Ach,Ach,,,,
put_WED-VLP-1_R1,put_WED-VLP,WED-VLP-1_L9,WED-VLP-1,,720575940621447077,CB2108,Ach,Ach,Ach,,,,
put_WED-VLP-1_R2,put_WED-VLP,WED-VLP-1_L10,WED-VLP-1,,720575940622969528,CB3377,Ach,Ach,Ach,,,,
put_WED-VLP-1_R3,put_WED-VLP,WED-VLP-1_L11,WED-VLP-1,,720575940632157631,CB3377,Ach,Ach,Ach,,,,
WED-VLP-2_L1,WED-VLP-2,WED-VLP-2_R1,WED-VLP-2,[171876  74413   1694],720575940627350060,CB2449,Ach,Ach,Ach,,,,
WED-VLP-2_L2,WED-VLP-2,WED-VLP-2_R2,WED-VLP-2,[171872  66369   1067],720575940632649567,CB1206,Ach,Ach,Ach,,,,
WED-VLP-2_L4,WED-VLP-2,WED-VLP-2_R3,WED-VLP-2,[174923  68868   1369],720575940622609678,CB1206,Ach,Ach,Ach,,,,
WED-VLP-2_L5,WED-VLP-2,WED-VLP-2_R4,WED-VLP-2,[173819  68710   1288],720575940617117656,CB2449,Ach,Ach,Ach,,,,
WED-VLP-2_L6,WED-VLP-2,WED-VLP-2_R5,WED-VLP-2,[173135  71767   1571],720575940609927653,CB1206,Ach,Ach,Ach,,,,
WED-VLP-2_R1,WED-VLP-2,WED-VLP-2_L1,WED-VLP-2,[84936 62847  2526],720575940634126949,CB2449,Ach,Ach,Ach,,,,
WED-VLP-2_R2,WED-VLP-2,WED-VLP-2_L2,WED-VLP-2,[86263 61817  2353],720575940634126478,CB1206,Ach,Ach,Ach,,,,
WED-VLP-2_R3,WED-VLP-2,WED-VLP-2_L3,WED-VLP-2,[84751 60025  2346],720575940622699196,CB2449,Ach,Ach,Ach,,,,
WED-VLP-2_R5,WED-VLP-2,WED-VLP-2_L4,WED-VLP-2,[86616 64248  2451],720575940613943413,CB2449,Ach,Ach,Ach,,,,
put_WED-VLP-1_R4,put_WED-VLP,WED-VLP-2_L5,WED-VLP-2,,720575940630744019,CB1206,Ach,Ach,Ach,,,,
WV-WV-1_1,WV-WV-1,WV-WV-1_1,WV-WV-1,[133609  82755   5074],720575940623322877,CB3881,GABA,GABA,GABA,,,,
WV-WV-1_2,WV-WV-1,WV-WV-1_2,WV-WV-1,[132942  84290   4984],720575940622123981,CB3911,GABA,-,GABA,,,,
WV-WV-1_3,WV-WV-1,WV-WV-1_3,WV-WV-1,[132191  87461   4915],720575940635330204,CB3882,GABA,GABA,GABA,,,,
WV-WV-2_1,WV-WV-2,WV-WV-2_1,WV-WV-2,[133206  85176   5147],720575940605095346,CB3915,GABA,-,GABA,,,,
WV-WV-2_2,WV-WV-2,WV-WV-2_2,WV-WV-2,[131550  83486   5265],720575940634571383,CB3914,GABA,-,GABA,,,,
WV-WV-2_3,WV-WV-2,WV-WV-2_3,WV-WV-2,[128711  88629   5199],720575940620835327,CB3915,GABA,,GABA,,,,
WV-WV-2_4,WV-WV-2,WV-WV-2_4,WV-WV-2,[131147  83857   5169],720575940625345328,CB3913,GABA,-,GABA,,,,
WV-WV-2_5,WV-WV-2,WV-WV-2_5,WV-WV-2,[132956  75199   5668],720575940621148660,CB3880,GABA,GABA,GABA,,,,
WV-WV-2_6,WV-WV-2,WV-WV-2_6,WV-WV-2,[132865  81467   5177],720575940618342966,CB3880,GABA,GABA,GABA,,,,
WV-WV-3_1,WV-WV-3,WV-WV-3_1,WV-WV-3,[129284  88337   4812],720575940639811469,CB3877,Inconclusive,GABA,GABA,,,,
WV-WV-3_2,WV-WV-3,WV-WV-3_2,WV-WV-3,[133624  89026   4705],720575940603533246,CB3877,Inconclusive,GABA,GABA,,,,
WV-WV-3_3,WV-WV-3,WV-WV-3_3,WV-WV-3,[131425  89771   4990],720575940632945177,CB3878,Inconclusive,-,GABA,,,,
WV-WV-3_5,WV-WV-3,WV-WV-3_4,WV-WV-3,[131911  88077   4665],720575940627201579,CB3877,Inconclusive,GABA,GABA,,,,
WV-WV-3_6,WV-WV-3,WV-WV-3_5,WV-WV-3,[129090  88642   4964],720575940621717469,CB4161,GABA,-,GABA,,,,
WV-WV-3_7,WV-WV-3,WV-WV-3_6,WV-WV-3,[132523  88721   4999],720575940605214636,CB3876,GABA,-,GABA,,,,
WV-WV-3_8,WV-WV-3,WV-WV-3_7,WV-WV-3,[131607  88377   4817],720575940604201830,CB3875,Inconclusive,GABA,GABA,,,,
WV-WV-3_4,WV-WV-3,WV-WV-4_1,WV-WV-4,[133282  82455   5312],720575940609513841,CB4045,GABA,-,GABA,,,,
WV-WV-3_9,WV-WV-3,WV-WV-4_2,WV-WV-4,[132177  87803   5104],720575940641545888,CB4045,GABA,-,GABA,,,,
