Neuron name (Baker et al 2022),Cell type (Baker et al 2022),Neuron name (Lockwood et al),Cell type (Lockwood et al),Coordinates ,Codex June 2024,HB type,FAFB NT,BANC NT,NT2026 (FAFB and BANC),JOA (L+R) influence score,JOB (L+R) influence score,JOA L influence,JOB L influence
,put_AVLP_pr01,AVLP_pr01-2_R4,AVLP_pr01-2,,720575940632670434,CB2253,GABA,-,GABA,,,,
AVLP_pr01_R4,AVLP_pr01,AVLP_pr01-2_L1,AVLP_pr01-2,[79881 36267  4067],720575940626042499,CB2114,GABA,GABA,GABA,,,,
AVLP_pr01_R5,AVLP_pr01,AVLP_pr01-2_L2,AVLP_pr01-2,[83381 39091  3976],720575940620929416,CB2253,GABA,-,GABA,,,,
AVLP_pr01_R7,AVLP_pr01,AVLP_pr01-2_L3,AVLP_pr01-2,[82035 37714  3965],720575940603683505,CB2253,GABA,-,GABA,,,,
AVLP_pr01_R9,AVLP_pr01,AVLP_pr01-2_L4,AVLP_pr01-2,[79305 37880  4079],720575940621713672,AVLP006b,GABA,GABA,GABA,,,,
AVLP_pr01_L9,AVLP_pr01,AVLP_pr01-3_R,AVLP_pr01-3,[183216  39161   3267],720575940607055061,AVLP006a,GABA,GABA,GABA,,,,
AVLP_pr01_R10,AVLP_pr01,AVLP_pr01-3_L,AVLP_pr01-3,[79769 38616  4113],720575940627709801,AVLP006a,GABA,GABA,GABA,,,,
AVLP_pr02_L1,AVLP_pr02,AVLP_pr02_R1,AVLP_pr02,[184204  37572   3050],720575940644319796,aSP8,GABA,GABA,GABA,,,,
AVLP_pr02_L2,AVLP_pr02,AVLP_pr02_R2,AVLP_pr02,[182748  39776   3342],720575940619583749,AVLP009,GABA,GABA,GABA,,,,
AVLP_pr02_L3,AVLP_pr02,AVLP_pr02_R3,AVLP_pr02,[184651  37702   3068],720575940636504553,aSP8,GABA,GABA,GABA,,,,
AVLP_pr02_R1,AVLP_pr02,AVLP_pr02_L1,AVLP_pr02,[79582 34259  3994],720575940610558357,aSP8,GABA,GABA,GABA,,,,
AVLP_pr02_R2,AVLP_pr02,AVLP_pr02_L2,AVLP_pr02,[79359 35993  3861],720575940630087542,aSP8,GABA,GABA,GABA,,,,
AVLP_pr02_R3,AVLP_pr02,AVLP_pr02_L3,AVLP_pr02,[78955 33621  4049],720575940617390027,AVLP009,GABA,GABA,GABA,,,,
WED_pr01_L1,WED_pr01,WED_pr01-1_R1,WED_pr01-1,[172459  39610   4614],720575940623621157,WED091,Ach,-,Ach,,,,
WED_pr01_L2,WED_pr01,WED_pr01-1_R2,WED_pr01-1,[175209  40534   4428],720575940624875018,CB1533,Ach,Ach,Ach,,,,
WED_pr01_L3,WED_pr01,WED_pr01-1_R3,WED_pr01-1,[173225  41163   4641],720575940624314468,CB1675,Ach,Ach,Ach,,,,
WED_pr01_L4,WED_pr01,WED_pr01-1_R4,WED_pr01-1,[174757  41177   4483],720575940616612313,WED089,Ach,-,Ach,,,,
WED_pr01_L6,WED_pr01,WED_pr01-1_R5,WED_pr01-1,[172830  41947   4735],720575940626228329,CB1675,Ach,Ach,Ach,,,,
WED_pr01_R2,WED_pr01,WED_pr01-1_L1,WED_pr01-1,[93324 35900  5152],720575940624473918,WED089,Ach,-,Ach,,,,
WED_pr01_R3,WED_pr01,WED_pr01-1_L2,WED_pr01-1,[92481 38078  5215],720575940632303807,WED091,Ach,-,Ach,,,,
WED_pr01_R4,WED_pr01,WED_pr01-1_L3,WED_pr01-1,[96610 39203  5298],720575940622529574,CB1675,Ach,Ach,Ach,,,,
,put_WED_pr01,WED_pr01-1_L4,WED_pr01-1,,720575940619491828,CB1533,Ach,Ach,Ach,,,,
,put_WED_pr01,WED_pr01-1_L5,WED_pr01-1,,720575940621558762,CB1675,Ach,Ach,Ach,,,,
WED_pr01_L5,WED_pr01,WED_pr01-2_R1,WED_pr01-2,[175653  41257   4433],720575940628584783,CB1818,Ach,Ach,Ach,,,,
,put_WED_pr01,WED_pr01-2_R2,WED_pr01-2,,720575940628038906,CB1818,Ach,Ach,Ach,,,,
put_WED_pr01_R1,put_WED_pr01,WED_pr01-2_R3,WED_pr01-2,,720575940638666473,CB1818,Ach,Ach,Ach,,,,
GNG_pr01_L2,GNG_pr01,GNG_pr01-1_R1,GNG_pr01-1,[157876  76292   3964],720575940629687824,cM19,GABA,GABA,GABA,,,,
put_GNG_pr01_L2,put_GNG_pr01,GNG_pr01-1_R2,GNG_pr01-1,,720575940655398817,cM19,GABA,GABA,GABA,,,,
put_GNG_pr01_L3,put_GNG_pr01,GNG_pr01-1_R3,GNG_pr01-1,,720575940630203589,cM19,GABA,GABA,GABA,,,,
GNG_pr01_R1,GNG_pr01,GNG_pr01-1_R4,GNG_pr01-1,[157399  76989   4069],720575940615966943,cM19,GABA,GABA,GABA,,,,
GNG_pr01_R4,GNG_pr01,GNG_pr01-1_L1,GNG_pr01-1,[102817  49949   2031],720575940635520489,cM19,GABA,GABA,GABA,,,,
GNG_pr01_R5,GNG_pr01,GNG_pr01-1_L2,GNG_pr01-1,[104161  50253   2079],720575940625778428,cM19,GABA,GABA,GABA,,,,
GNG_pr01_R6,GNG_pr01,GNG_pr01-1_L3,GNG_pr01-1,[104670  49219   2141],720575940628869391,cM19,GABA,GABA,GABA,,,,
put_GNG_pr01_R1,put_GNG_pr01,GNG_pr01-1_L4,GNG_pr01-1,,720575940617641077,cM19,GABA,GABA,GABA,,,,
GNG_pr01_L1,GNG_pr01,GNG_pr01-2_R1,GNG_pr01-2,[157251  53651   1287],720575940619615770,cM19,GABA,GABA,GABA,,,,
GNG_pr01_L3,GNG_pr01,GNG_pr01-2_R2,GNG_pr01-2,[156823  53505   1406],720575940621429757,cM19,GABA,GABA,GABA,,,,
put_GNG_pr01_L1,put_GNG_pr01,GNG_pr01-2_R3,GNG_pr01-2,,720575940612801022,cM19,GABA,GABA,GABA,,,,
GNG_pr01_R2,GNG_pr01,GNG_pr01-2_L1,GNG_pr01-2,[98692 50609  1908],720575940641626056,cM19,GABA,GABA,GABA,,,,
put_GNG_pr01_R2,put_GNG_pr01,GNG_pr01-2_L2,GNG_pr01-2,,720575940630571068,cM19,GABA,GABA,GABA,,,,
AVLP_pr22_L9,AVLP_pr22,AVLP_pr22_R1,AVLP_pr22,[173011  60888   1013],720575940630622803,CB1377,Ach,Ach,Ach,,,,
AVLP_pr22_L13,AVLP_pr22,AVLP_pr22_R2,AVLP_pr22,[170359  53226   1057],720575940613530636,CB1875,Ach,Ach,Ach,,,,
put_AVLP_pr22_L2,put_AVLP_pr22,AVLP_pr22_R3,AVLP_pr22,,720575940611713634,CB1875,Ach,Ach,Ach,,,,
AVLP_pr22_L6,AVLP_pr22,AVLP_pr22_R4,AVLP_pr22,[174319  49350   1409],720575940618003672,CB2006,Ach,Ach,Ach,,,,
,put_AVLP_pr22,AVLP_pr22_L1,AVLP_pr22,,720575940639256704,CB1377,Ach,Ach,Ach,,,,
put_AVLP_pr22_R5,put_AVLP_pr22,AVLP_pr22_L2,AVLP_pr22,,720575940627660905,CB1875,Ach,Ach,Ach,,,,
put_AVLP_pr22_R6,put_AVLP_pr22,AVLP_pr22_L3,AVLP_pr22,,720575940633613026,CB1875,Ach,Ach,Ach,,,,
AVLP_pr22_R10,AVLP_pr22,AVLP_pr22_L4,AVLP_pr22,[92848 43138  2377],720575940632527571,CB2006,Ach,Ach,Ach,,,,
,put_AVLP_pr22,AVLP_pr22_L5,AVLP_pr22,,720575940613917042,CB2006,Ach,Ach,Ach,,,,
IPS/WED_pr01_L1,IPS/WED_pr01,IPS/WED_pr01_R1,IPS/WED_pr01,[163000  80983   3033],720575940616420150,WED057,GABA,GABA,GABA,,,,
IPS/WED_pr01_L2,IPS/WED_pr01,IPS/WED_pr01_R2,IPS/WED_pr01,[165784  82396   2818],720575940632184928,WED057,GABA,GABA,GABA,,,,
IPS/WED_pr01_L3,IPS/WED_pr01,IPS/WED_pr01_R3,IPS/WED_pr01,[166253  80799   2693],720575940612975007,WED057,GABA,GABA,GABA,,,,
IPS/WED_pr01_L4,IPS/WED_pr01,IPS/WED_pr01_R4,IPS/WED_pr01,[164829  81269   2752],720575940642686999,WED057,GABA,GABA,GABA,,,,
IPS/WED_pr01_L5,IPS/WED_pr01,IPS/WED_pr01_R5,IPS/WED_pr01,[165889  81473   2696],720575940630049617,WED057,GABA,GABA,GABA,,,,
IPS/WED_pr01_L6,IPS/WED_pr01,IPS/WED_pr01_R6,IPS/WED_pr01,[166628  82569   2744],720575940615768861,WED057,GABA,GABA,GABA,,,,
IPS/WED_pr01_L7,IPS/WED_pr01,IPS/WED_pr01_R7,IPS/WED_pr01,[165154  81666   2841],720575940630622509,WED057,GABA,GABA,GABA,,,,
put_IPS/WED_pr01_L1,put_IPS/WED_pr01,IPS/WED_pr01_R8,IPS/WED_pr01,,720575940631968855,WED057,GABA,GABA,GABA,,,,
put_IPS/WED_pr01_L2,put_IPS/WED_pr01,IPS/WED_pr01_R9,IPS/WED_pr01,,720575940615906388,WED057,GABA,GABA,GABA,,,,
put_IPS/WED_pr01_L2,put_IPS/WED_pr01,IPS/WED_pr01_R10,IPS/WED_pr01,,720575940626096138,WED057,GABA,GABA,GABA,,,,
put_IPS/WED_pr01_L2,put_IPS/WED_pr01,IPS/WED_pr01_R11,IPS/WED_pr01,,720575940625799950,WED057,GABA,GABA,GABA,,,,
IPS/WED_pr01_R1,IPS/WED_pr01,IPS/WED_pr01_L1,IPS/WED_pr01,[99586 76253  3671],720575940615236582,WED057,GABA,GABA,GABA,,,,
IPS/WED_pr01_R2,IPS/WED_pr01,IPS/WED_pr01_L2,IPS/WED_pr01,[96958 74180  3636],720575940609291214,WED057,GABA,GABA,GABA,,,,
IPS/WED_pr01_R3,IPS/WED_pr01,IPS/WED_pr01_L3,IPS/WED_pr01,[98099 74515  3330],720575940623802298,WED057,GABA,GABA,GABA,,,,
IPS/WED_pr01_R4,IPS/WED_pr01,IPS/WED_pr01_L4,IPS/WED_pr01,[97499 73967  3339],720575940629211960,WED057,GABA,GABA,GABA,,,,
IPS/WED_pr01_R5,IPS/WED_pr01,IPS/WED_pr01_L5,IPS/WED_pr01,[95239 74925  3521],720575940618225030,WED057,GABA,GABA,GABA,,,,
IPS/WED_pr01_R6,IPS/WED_pr01,IPS/WED_pr01_L6,IPS/WED_pr01,[107115  69973   3719],720575940625391397,WED057,GABA,GABA,GABA,,,,
put_IPS/WED_pr01_R1,put_IPS/WED_pr01,IPS/WED_pr01_L7,IPS/WED_pr01,,720575940616708108,WED057,GABA,GABA,GABA,,,,
put_IPS/WED_pr01_R2,put_IPS/WED_pr01,IPS/WED_pr01_L8,IPS/WED_pr01,,720575940619233812,WED057,GABA,GABA,GABA,,,,
put_IPS/WED_pr01_R3,put_IPS/WED_pr01,IPS/WED_pr01_L9,IPS/WED_pr01,,720575940625344529,WED057,GABA,GABA,GABA,,,,
put_IPS/WED_pr01_R4,put_IPS/WED_pr01,IPS/WED_pr01_L10,IPS/WED_pr01,,720575940625779655,WED057,GABA,GABA,GABA,,,,
AVLP_pr31_L1,AVLP_pr31,AVLP_pr31_R1,AVLP_pr31,[175810  70811   1842],720575940634709872,CB2593,Ach,Ach,Ach,,,,
put_AVLP_pr31_L1,put_AVLP_pr31,AVLP_pr31_R2,AVLP_pr31,,720575940607254723,CB1730,Ach,Ach,Ach,,,,
put_AVLP_pr31_L2,put_AVLP_pr31,AVLP_pr31_R3,AVLP_pr31,,720575940619590081,CB2510,Ach,Ach,Ach,,,,
put_AVLP_pr31_L6,put_AVLP_pr31,AVLP_pr31_R4,AVLP_pr31,,720575940620801304,CB2510,Ach,Ach,Ach,,,,
put_AVLP_pr31_L3,put_AVLP_pr31,AVLP_pr31_R5,AVLP_pr31,,720575940622754756,CB2593,Ach,Ach,Ach,,,,
AVLP_pr31_L6,AVLP_pr31,AVLP_pr31_R6,AVLP_pr31,[175732  70390   1601],720575940627952207,CB2593,Ach,Ach,Ach,,,,
AVLP_pr31_R6,AVLP_pr31,AVLP_pr31_L1,AVLP_pr31,[86388 66292  2911],720575940611694545,CB2593,Ach,Ach,Ach,,,,
put_AVLP_pr31_R6,put_AVLP_pr31,AVLP_pr31_L2,AVLP_pr31,,720575940627827450,CB2593,Ach,Ach,Ach,,,,
AVLP_pr32_R1,AVLP_pr32,AVLP_pr32_L1,AVLP_pr32,[85686 68418  3078],720575940648981881,CB2510,Ach,Ach,Ach,,,,
AVLP_pr32_R2,AVLP_pr32,AVLP_pr32_L2,AVLP_pr32,[86774 67780  2808],720575940610929379,CB1730,Ach,Ach,Ach,,,,
AVLP_pr32_R3,AVLP_pr32,AVLP_pr32_L3,AVLP_pr32,[84357 67796  3103],720575940617353433,CB1730,Ach,Ach,Ach,,,,
SAD_pr02_L1,sad_pr0,SAD_pr02_R1,SAD_pr02,[167836  82213   2745],720575940621324996,CB1065,Inconclusive,GABA,GABA,,,,
SAD_pr02_L2,SAD_pr02,SAD_pr02_R2,SAD_pr02,[165531  79142   2514],720575940617197057,CB3024,GABA,GABA,GABA,,,,
SAD_pr02_L3,SAD_pr02,SAD_pr02_R3,SAD_pr02,[166901  82585   2943],720575940617884736,CB3105,GABA,GABA,GABA,,,,
SAD_pr02_L4,SAD_pr02,SAD_pr02_R4,SAD_pr02,[165384  81930   2951],720575940630659446,CB1969,GABA,GABA,GABA,,,,
put_SAD_pr02_L1,put_SAD_pr02,SAD_pr02_R5,SAD_pr02,,720575940615868485,CB1065,Inconclusive,GABA,GABA,,,,
put_SAD_pr02_L3,put_SAD_pr02,SAD_pr02_R6,SAD_pr02,,720575940612338674,CB1969,GABA,GABA,GABA,,,,
put_SAD_pr02_L4,put_SAD_pr02,SAD_pr02_R7,SAD_pr02,,720575940623292713,CB3105,GABA,GABA,GABA,,,,
SAD_pr02_R1,SAD_pr02,SAD_pr02_L1,SAD_pr02,[93823 73357  3282],720575940620910774,CB1198,GABA,GABA,GABA,,,,
SAD_pr02_R2,SAD_pr02,SAD_pr02_L2,SAD_pr02,[92739 73894  3308],720575940608432760,CB1942,GABA,GABA,GABA,,,,
SAD_pr02_R3,SAD_pr02,SAD_pr02_L3,SAD_pr02,[94091 75371  3245],720575940633040097,CB1969,GABA,GABA,GABA,,,,
SAD_pr02_R4,SAD_pr02,SAD_pr02_L4,SAD_pr02,[92634 73977  3199],720575940623090446,CB1942,GABA,GABA,GABA,,,,
SAD_pr02_R5,SAD_pr02,SAD_pr02_L5,SAD_pr02,[95352 73592  3268],720575940627939177,CB1198,GABA,GABA,GABA,,,,
SAD_pr02_R6,SAD_pr02,SAD_pr02_L6,SAD_pr02,[93799 74244  3267],720575940645497140,CB1942,GABA,GABA,GABA,,,,
SAD_pr02_R7,SAD_pr02,SAD_pr02_L7,SAD_pr02,[98329 74984  3497],720575940615625053,CB1198,GABA,GABA,GABA,,,,
SAD_pr02_R8,SAD_pr02,SAD_pr02_L8,SAD_pr02,[100128  75363   3386],720575940620859886,CB1198,GABA,GABA,GABA,,,,
SAD_pr02_R9,SAD_pr02,SAD_pr02_L9,SAD_pr02,[94683 73183  3313],720575940628846966,CB3024,GABA,GABA,GABA,,,,
SAD_pr02_R10,SAD_pr02,SAD_pr02_L10,SAD_pr02,[93459 73674  3315],720575940611335859,CB1969,GABA,GABA,GABA,,,,
AVLP_pr04_L1,AVLP_pr04,AVLP_pr04_R1,AVLP_pr04,[171240  48369   4726],720575940629513478,AVLP538,DA,SER,SER,,,,
AVLP_pr04_R1,AVLP_pr04,AVLP_pr04_L1,AVLP_pr04,[96182 50473  5263],720575940623113752,AVLP538,DA,SER,SER,,,,
AVLP_pr12_L1,AVLP_pr12,AVLP_pr12_R1,AVLP_pr12,[180916  58066   1700],720575940628333788,CL062_b,Ach,Ach,Ach,,,,
AVLP_pr12_L2,AVLP_pr12,AVLP_pr12_R2,AVLP_pr12,[172029  59412   1019],720575940620424472,CL062_a,Ach,Ach,Ach,,,,
AVLP_pr12_L3,AVLP_pr12,AVLP_pr12_R3,AVLP_pr12,[177917  58266   1457],720575940635130905,CL062_a,Ach,Ach,Ach,,,,
AVLP_pr12_L4,AVLP_pr12,AVLP_pr12_R4,AVLP_pr12,[176004  63247   1291],720575940626869403,CL062_b,Ach,Ach,Ach,,,,
AVLP_pr12_L5,AVLP_pr12,AVLP_pr12_R5,AVLP_pr12,[176059  64669   1407],720575940632011420,CL062_a,Ach,Ach,Ach,,,,
AVLP_pr12_L6,AVLP_pr12,AVLP_pr12_R6,AVLP_pr12,[179355  57797   1633],720575940637319134,CL062_b,Ach,Ach,Ach,,,,
,put_AVLP_pr12,AVLP_pr12_R7,AVLP_pr12,,720575940616650589,CL062_a,Ach,Ach,Ach,,,,
,put_AVLP_pr12,AVLP_pr12_R8,AVLP_pr12,,720575940624273395,CL062_a,Ach,Ach,Ach,,,,
,put_AVLP_pr12,AVLP_pr12_R9,AVLP_pr12,,720575940625194014,CL062_b,Ach,Ach,Ach,,,,
AVLP_pr12_R1,AVLP_pr12,AVLP_pr12_L1,AVLP_pr12,[85364 47673  2527],720575940614437462,CL062_b,Ach,Ach,Ach,,,,
AVLP_pr12_R2,AVLP_pr12,AVLP_pr12_L2,AVLP_pr12,[80507 47851  2916],720575940626885124,CL062_a,Ach,Ach,Ach,,,,
AVLP_pr12_R3,AVLP_pr12,AVLP_pr12_L3,AVLP_pr12,[84363 49911  2583],720575940637079667,CL062_b,Ach,Ach,Ach,,,,
AVLP_pr12_R4,AVLP_pr12,AVLP_pr12_L4,AVLP_pr12,[84769 48279  2539],720575940634371941,CL062_a,Ach,Ach,Ach,,,,
AVLP_pr12_R5,AVLP_pr12,AVLP_pr12_L5,AVLP_pr12,[84129 49094  2681],720575940608082990,CL062_b,Ach,Ach,Ach,,,,
AVLP_pr12_R6,AVLP_pr12,AVLP_pr12_L6,AVLP_pr12,[80095 47248  2902],720575940630037073,CL062_a,Ach,Ach,Ach,,,,
AVLP_pr12_R7,AVLP_pr12,AVLP_pr12_L7,AVLP_pr12,[79538 49052  2955],720575940606687957,CL062_a,Ach,Ach,Ach,,,,
put_AVLP/PVLP_pr01_L6,,AVLP/PVLP_pr01-1_R1,AVLP/PVLP_pr01-1,,720575940628071696,AVLP457,Ach,Ach,Ach,,,,
put_AVLP/PVLP_pr01_L7,,AVLP/PVLP_pr01-1_R2,AVLP/PVLP_pr01-1,,720575940618595894,AVLP457,Ach,Ach,Ach,,,,
AVLP/PVLP_pr01_R5,AVLP/PVLP_pr01,AVLP/PVLP_pr01-1_L,AVLP/PVLP_pr01-1,[113168  72733   1386],720575940613531295,AVLP457,Ach,Ach,Ach,,,,
put_AVLP/PVLP_pr01_R4,,AVLP/PVLP_pr01-2_R1,AVLP/PVLP_pr01-2,,720575940626258690,CB1498,Ach,-,Ach,,,,
put_AVLP/PVLP_pr01_R5,,AVLP/PVLP_pr01-2_R2,AVLP/PVLP_pr01-2,,720575940629144906,CB1498,Ach,-,Ach,,,,
put_AVLP/PVLP_pr01_R6,,AVLP/PVLP_pr01-2_R3,AVLP/PVLP_pr01-2,,720575940631799343,CB1498,Ach,-,Ach,,,,
AVLP/PVLP_pr01_R1,AVLP/PVLP_pr01,AVLP/PVLP_pr01-2_L1,AVLP/PVLP_pr01-2,[114362  72133   1374],720575940612975853,CB1498,Ach,-,Ach,,,,
AVLP/PVLP_pr01_R8,AVLP/PVLP_pr01,AVLPPVLP_pr01-2_L2,AVLP/PVLP_pr01-2,[112898  72822   1626],720575940634317724,CB1498,Ach,-,Ach,,,,
put_AVLP/PVLP_pr01_R1,put_AVLP/PVLP,AVLP/PVLP_pr01-2_L3,AVLP/PVLP_pr01-2,,720575940621752001,CB1498,Ach,-,Ach,,,,
AVLP_pr36_L1,AVLP_pr36,AVLP_pr36/asp10a-1_R1,AVLP_pr36/asp10a-1,[165638  60589    809],720575940632764883,CB3313,Ach,Ach,Ach,,,,
AVLP_pr36_L2,AVLP_pr36,AVLP_pr36/asp10a-1_R2,AVLP_pr36/asp10a-1,[166025  59546    720],720575940617362772,CB1783,Ach,Ach,Ach,,,,
AVLP_pr36_L3,AVLP_pr36,AVLP_pr36/asp10a-1_R3,AVLP_pr36/asp10a-1,[164459  62022    706],720575940620356557,CB1783,Ach,Ach,Ach,,,,
AVLP_pr36_L4,AVLP_pr36,AVLP_pr36/asp10a-1_R4,AVLP_pr36/asp10a-1,[165485  61483    725],720575940627719294,CB1783,Ach,Ach,Ach,,,,
AVLP_pr36_L6,AVLP_pr36,AVLP_pr36/asp10a-1_R5,AVLP_pr36/asp10a-1,[168196  57983    776],720575940615635037,CB3313,Ach,Ach,Ach,,,,
AVLP_pr36_L7,AVLP_pr36,AVLP_pr36/asp10a-1_R6,AVLP_pr36/asp10a-1,[163810  56269    795],720575940615592409,CB1090,Ach,Ach,Ach,,,,
AVLP_pr36_L8,AVLP_pr36,AVLP_pr36/asp10a-1_R7,AVLP_pr36/asp10a-1,[166639  57489    778],720575940619688688,CB1090,Ach,Ach,Ach,,,,
AVLP_pr36_L9,AVLP_pr36,AVLP_pr36/asp10a-1_R8,AVLP_pr36/asp10a-1,[164336  57054    756],720575940637175349,CB1090,Ach,Ach,Ach,,,,
AVLP_pr36_L10,AVLP_pr36,AVLP_pr36/asp10a-1_R9,AVLP_pr36/asp10a-1,[164102  59094    710],720575940628837650,CB1090,Ach,Ach,Ach,,,,
AVLP_pr36_R1,AVLP_pr36,AVLP_pr36/asp10a-1_L1,AVLP_pr36/asp10a-1,[94260 55542  1800],720575940637834301,CB3313,Ach,Ach,Ach,,,,
AVLP_pr36_R2,AVLP_pr36,AVLP_pr36/asp10a-1_L2,AVLP_pr36/asp10a-1,[93922 54733  1831],720575940629244357,CB3313,Ach,Ach,Ach,,,,
AVLP_pr36_R3,AVLP_pr36,AVLP_pr36/asp10a-1_L3,AVLP_pr36/asp10a-1,[91678 55932  1900],720575940602120928,CB1783,Ach,Ach,Ach,,,,
AVLP_pr36_R4,AVLP_pr36,AVLP_pr36/asp10a-1_L4,AVLP_pr36/asp10a-1,[93724 55127  1768],720575940617034398,CB1090,Ach,Ach,Ach,,,,
AVLP_pr36_R5,AVLP_pr36,AVLP_pr36/asp10a-1_L5,AVLP_pr36/asp10a-1,[91535 55000  1977],720575940613034602,CB1090,Ach,Ach,Ach,,,,
AVLP_pr36_R6,AVLP_pr36,AVLP_pr36/asp10a-1_L6,AVLP_pr36/asp10a-1,[93846 53976  1851],720575940609996773,CB3313,Ach,Ach,Ach,,,,
put_AVLP_pr36_R1,put_AVLP_pr36,AVLP_pr36/asp10a-1_L7,AVLP_pr36/asp10a-1,,720575940624662508,CB1783,Ach,Ach,Ach,,,,
put_AVLP_pr36_R3,put_AVLP_pr36,AVLP_pr36/asp10a-1_L8,AVLP_pr36/asp10a-1,,720575940636471408,CB1783,Ach,Ach,Ach,,,,
,put_AVLP_pr36,AVLP_pr36/asp10a-1_L9,AVLP_pr36/asp10a-1,,720575940604445868,CB1090,Ach,Ach,Ach,,,,
,put_AVLP_pr36,AVLP_pr36/asp10a-1_L10,AVLP_pr36/asp10a-1,,720575940641972384,CB1090,Ach,Ach,Ach,,,,
AVLP_pr36_L5,AVLP_pr36,AVLP_pr36/asp10a-2_R,AVLP_pr36/asp10a-2,[164628  60737    704],720575940627363687,CB3269,Ach,Ach,Ach,,,,
put_AVLP_pr36_R8,put_AVLP_pr36,AVLP_pr36/asp10a-2_L1,AVLP_pr36/asp10a-2,,720575940644252951,CB3269,Ach,Ach,Ach,,,,
put_AVLP_pr36_R6,put_AVLP_pr36,AVLP_pr36/asp10a-2_L2,AVLP_pr36/asp10a-2,,720575940623437180,CB3269,Ach,Ach,Ach,,,,
,put_AVLP_pr18,AVLP_pr18-1_R,AVLP_pr18-1,,720575940616941201,AVLP434_a,Inconclusive,Inconclusive,Inconclusive,,,,
,put_AVLP_pr18,AVLP_pr18-1_L,AVLP_pr18-1,,720575940632109775,AVLP434_a,Inconclusive,Inconclusive,Inconclusive,,,,
,put_AVLP_pr18,AVLP_pr18-2_R,AVLP_pr18-2,,720575940630396790,AVLP434_b,Inconclusive,Inconclusive,Inconclusive,,,,
,put_AVLP_pr18,AVLP_pr18-2_L,AVLP_pr18-2,,720575940630302551,AVLP434_b,Inconclusive,Inconclusive,Inconclusive,,,,
AVLP_pr05_L1,AVLP_pr05,AVLP_pr05-1_R1,AVLP_pr05-1,[171797  45557   5013],720575940618477806,CL253,GABA,GABA,GABA,,,,
AVLP_pr05_L2,AVLP_pr05,AVLP_pr05-1_R2,AVLP_pr05-1,[169287  49312   5089],720575940617529669,CL252,GABA,GABA,GABA,,,,
AVLP_pr05_L3,AVLP_pr05,AVLP_pr05-1_R3,AVLP_pr05-1,[168281  49611   5176],720575940615798045,CL252,GABA,GABA,GABA,,,,
AVLP_pr05_L4,AVLP_pr05,AVLP_pr05-1_R4,AVLP_pr05-1,[170734  47774   5182],720575940617193009,CL252,GABA,GABA,GABA,,,,
AVLP_pr05_L5,AVLP_pr05,AVLP_pr05-1_R5,AVLP_pr05-1,[168639  48052   5142],720575940625839345,CL252,GABA,GABA,GABA,,,,
AVLP_pr05_L9,AVLP_pr05,AVLP_pr05-1_R6,AVLP_pr05-1,[169856  47172   5044],720575940603331686,CL253,GABA,GABA,GABA,,,,
AVLP_pr05_R1,AVLP_pr05,AVLP_pr05-1_L1,AVLP_pr05-1,[85111 41366  5599],720575940618048724,CL253,GABA,GABA,GABA,,,,
AVLP_pr05_R2,AVLP_pr05,AVLP_pr05-1_L2,AVLP_pr05-1,[79969 39062  5165],720575940629414201,CL252,GABA,GABA,GABA,,,,
AVLP_pr05_R4,AVLP_pr05,AVLP_pr05-1_L3,AVLP_pr05-1,[82355 41454  5268],720575940639494528,CL252,GABA,GABA,GABA,,,,
AVLP_pr05_R6,AVLP_pr05,AVLP_pr05-1_L4,AVLP_pr05-1,[81713 40253  5103],720575940629349340,CL252,GABA,GABA,GABA,,,,
put_AVLP_pr05_R1,put_AVLP_pr05,AVLP_pr05-1_L5,AVLP_pr05-1,,720575940623849496,CL253,GABA,GABA,GABA,,,,
put_AVLP_pr05_R2,put_AVLP_pr05,AVLP_pr05-1_L6,AVLP_pr05-1,,720575940630303307,-,,,,,,,
AVLP_pr05_L10,AVLP_pr05,AVLP_pr05-2_R1,AVLP_pr05-2,[177799  43295   4973],720575940617943205,PLP160,GABA,GABA,GABA,,,,
AVLP_pr05_L11,AVLP_pr05,AVLP_pr05-2_R2,AVLP_pr05-2,[174403  45010   5102],720575940624172290,PLP160,GABA,GABA,GABA,,,,
AVLP_pr05_R14,AVLP_pr05,AVLP_pr05-2_L,AVLP_pr05-2,[80166 39699  5253],720575940617842196,PLP160,GABA,GABA,GABA,,,,
AVLP_pr05_R8,AVLP_pr05,AVLP_pr05-3_L1,AVLP_pr05-3,[86594 41742  5115],720575940612965791,CB2260,Inconclusive,GABA,GABA,,,,
AVLP_pr05_R12,AVLP_pr05,AVLP_pr05-3_L2,AVLP_pr05-3,[91288 65513  3217],720575940607049941,CB2260,Inconclusive,GABA,GABA,,,,
,put_AVLP_pr05,AVLP_pr05-3_L3,AVLP_pr05-3,,720575940605611209,CB2260,Inconclusive,GABA,GABA,,,,
IPS_pr01_L1,IPS_pr01,IPS_pr01-1_R1,IPS_pr01-1,[161519  70150   1004],720575940615915035,WEDPN1A,GABA,GABA,GABA,,,,
IPS_pr01_L2,IPS_pr01,IPS_pr01-1_R2,IPS_pr01-1,[164010  58165   3929],720575940610088618,WEDPN1A,GABA,GABA,GABA,,,,
IPS_pr01_L4,IPS_pr01,IPS_pr01-1_R3,IPS_pr01-1,[162852  71598   1131],720575940616812217,WEDPN1A,GABA,GABA,GABA,,,,
