Cell type (Lockwood et al)_x,Cell type (Lockwood et al)_y,total_synapses,n_postsyn_neurons,syn_per_post_neuron
B1-7,SAD_pr02,139,2,69.5
PVLP_pr03-3,GF,134,2,67.0
B1-5,GF,132,2,66.0
vpoEN,pC1d,122,2,61.0
WV-WV-2,WV-WV-1,120,2,60.0
WED-VLP-1,AVLP_pr01-3,119,2,59.5
WV-WV-3,WV-WV-2,107,2,53.5
AVLP/PVLP_pr01-2,GF,102,2,51.0
B1-u,WV-WV-3,100,2,50.0
B2,WV-WV-3,85,1,85.0
WV-WV-4,WV-WV-1,62,1,62.0
JO-A,WV-WV-4,55,1,55.0
B1-1,WV-WV-2,52,1,52.0
