Source,Target,total_synapses,n_postsyn_neurons,Weight
B1-3,AVLP_pr23,158,2,79.0
PVLP_pr03-3,A1,149,5,29.8
B1-7,WV-WV-3,146,1,146.0
JO-B,SAD_pr01,144,2,72.0
AVLP_pr36/asp10a-1,pC1d,144,2,72.0
WED-VLP-2,pC2lb,144,3,48.0
SAD_pr02,A2,144,3,48.0
B1-1,WED-VLP-2,144,4,36.0
B1-4,AVLP/PVLP_pr01-2,140,5,28.0
B1-7,SAD_pr02,139,2,69.5
B1-5,B1-7,134,7,19.142857142857142
PVLP_pr03-3,GF,134,2,67.0
JO-A,B1-7,133,6,22.166666666666668
B1-5,GF,132,2,66.0
SAD_pr02,B1-5,131,6,21.833333333333332
AVLP_pr01-1,AVLP_pr01-2,130,6,21.666666666666668
WED_pr01-1,IPS/WED_pr01,129,7,18.428571428571427
B1-2,WED-VLP-1,127,5,25.4
WED-VLP-2,AVLP_pr22,124,5,24.8
WV-WV-3,SAD_pr02,124,8,15.5
vpoEN,pC1d,122,2,61.0
WV-WV-2,WV-WV-1,120,2,60.0
pC2lb,PVLP_pr03-2,120,4,30.0
AVLP_pr01-2,vpoEN,119,4,29.75
WED-VLP-1,AVLP_pr01-3,119,2,59.5
WV-WV-1,WV-WV-3,118,6,19.666666666666668
WED-VLP-1,AVLP_pr32,115,3,38.333333333333336
aPN2,IPS_pr01-1,115,7,16.428571428571427
WV-WV-3,B1-5,114,8,14.25
IPS_pr02,B1-6,114,7,16.285714285714285
pC1d,AVLP_pr36/asp10a-1,110,5,22.0
B1-7,WED_pr01-1,110,7,15.714285714285714
B1-4,SAD_pr02,109,7,15.571428571428571
WV-WV-3,WV-WV-2,107,2,53.5
AVLP_pr02,pC2lb,106,6,17.666666666666668
AVLP_pr01-1,AVLP_pr02,105,6,17.5
vpoEN,pC2la,104,5,20.8
A2,WV-WV-3,102,4,25.5
B1-u,WED_pr01-1,102,7,14.571428571428571
B1-6,A1,102,5,20.4
AVLP/PVLP_pr01-2,GF,102,2,51.0
B1-u,WV-WV-3,100,2,50.0
AVLP_pr23,vpoEN,99,4,24.75
AVLP_pr01-2,AVLP_pr22,97,5,19.4
B1-u,AVLP_pr23,96,2,48.0
pMN2,pC1d,96,2,48.0
SAD_pr02,WV-WV-1,94,2,47.0
WV-WV-2,SAD_pr02,93,7,13.285714285714286
vpoIN-2,pMN2,93,2,46.5
WV-WV-3,SAD_pr01,92,2,46.0
SAD_pr01,B1-2,92,6,15.333333333333334
WV-WV-3,AVLP/PVLP_pr01-2,90,5,18.0
WED-VLP-2,AVLP_pr01-1,88,2,44.0
B1-3,SAD_pr02,88,3,29.333333333333332
SAD_pr02,B1-4,87,3,29.0
vpoIN-1,pMN1,86,2,43.0
B2,WV-WV-3,85,1,85.0
aPN2,IPS/WED_pr01,82,4,20.5
WV-WV-4,SAD_pr02,82,7,11.714285714285714
B1-1,AVLP_pr01-1,81,6,13.5
JO-A,WED-VLP-1,78,7,11.142857142857142
A2,WV-WV-1,78,2,39.0
WED-VLP-2,AVLP_pr31,77,4,19.25
B1-1,B1-2,77,7,11.0
B1-2,WV-WV-4,77,2,38.5
B1-u,WV-WV-2,76,3,25.333333333333332
WED-VLP-1,WV-WV-1,74,2,37.0
B1-5,A1,70,4,17.5
B1-4,SAD_pr01,70,2,35.0
vpoIN-2,AVLP_pr12,69,4,17.25
IPS_pr01-2,WED_pr01-1,69,6,11.5
WV-WV-2,WED-VLP-2,69,5,13.8
AVLP_pr01-1,vpoIN-3,65,2,32.5
AVLP_pr36/asp10a-2,vpoIN-2,64,4,16.0
SAD_pr02,B1-2,64,3,21.333333333333332
WED-VLP-2,AVLP_pr01-3,64,2,32.0
WV-WV-4,WV-WV-1,62,1,62.0
pC2lb,pMN2,61,2,30.5
SAD_pr01,AVLP_pr23,60,2,30.0
